FU,capability,implementation,corner,target_period_ns,achieved_delay_ns,fmax_ghz,cell_area_um2,total_area_um2,dynamic_power_mw,leakage_power_uw,energy_per_operation_pj,timing_met,activity_source,fixed_bank_definition
barrel_32x2,32x2,fixed,feasible,0.625000,0.624985,1.600038401,310.267195,868.758424,0.951833,0.125643,0.594882,true,uniform_synthetic,feasible_family_target
barrel_64,64,fixed,feasible,0.625000,0.624735,1.600678688,502.163997,1218.701612,1.332900,0.238780,0.832709,true,uniform_synthetic,feasible_family_target
barrel_bs3,64/32x2/16x4,decomposable,feasible,0.625000,0.624953,1.600120329,552.824397,1253.204573,1.581500,0.273223,0.988363,true,uniform_synthetic,feasible_family_target
cmp_16x4,16x4,fixed,feasible,0.625000,0.624781,1.600560837,112.287599,278.675181,0.282282,0.040626,0.176365,true,uniform_synthetic,feasible_family_target
cmp_32x2,32x2,fixed,feasible,0.625000,0.624987,1.600033281,94.172400,222.390439,0.235348,0.033676,0.147089,true,uniform_synthetic,feasible_family_target
cmp_64,64,fixed,feasible,0.625000,0.623614,1.603556046,106.515600,245.323092,0.230190,0.043824,0.143550,true,uniform_synthetic,feasible_family_target
cmp_c4,64/32x2/16x4,decomposable,feasible,0.625000,0.624792,1.600532657,190.875598,388.380155,0.328567,0.083677,0.205286,true,uniform_synthetic,feasible_family_target
fp_cmp_16x4,FP16x4,fixed,feasible,0.625000,0.624958,1.600107527,129.426000,313.836382,0.283824,0.046115,0.177378,true,uniform_synthetic,feasible_family_target
fp_cmp_32x2,FP32x2,fixed,feasible,0.625000,0.624952,1.600122889,148.207199,331.962124,0.279077,0.062669,0.174410,true,uniform_synthetic,feasible_family_target
fp_cmp_64,FP64,fixed,feasible,0.625000,0.624604,1.601014403,130.180799,303.628135,0.250860,0.049587,0.156688,true,uniform_synthetic,feasible_family_target
fp_cmp_g3,FP64/FP32x2/FP16x4,decomposable,feasible,0.625000,0.624956,1.600112648,354.533999,703.498635,0.719405,0.176111,0.449596,true,uniform_synthetic,feasible_family_target
fp_minmax_16x4,FP16x4,fixed,feasible,0.625000,0.624914,1.600220190,118.991999,303.860083,0.309373,0.041773,0.193332,true,uniform_synthetic,feasible_family_target
fp_minmax_32x2,FP32x2,fixed,feasible,0.625000,0.624914,1.600220190,155.000398,369.636968,0.367346,0.058481,0.229560,true,uniform_synthetic,feasible_family_target
fp_minmax_64,FP64,fixed,feasible,0.625000,0.624948,1.600133131,151.403998,363.147525,0.359655,0.058661,0.224766,true,uniform_synthetic,feasible_family_target
fp_minmax_m3,FP64/FP32x2/FP16x4,decomposable,feasible,0.625000,0.624870,1.600332869,397.735198,761.604438,0.874528,0.207804,0.546466,true,uniform_synthetic,feasible_family_target
minmax_16x4,16x4,fixed,feasible,0.625000,0.624530,1.601204105,135.375598,268.766610,0.373838,0.069020,0.233473,true,uniform_synthetic,feasible_family_target
minmax_32x2,32x2,fixed,feasible,0.625000,0.624399,1.601540041,106.293601,254.908895,0.287062,0.033831,0.179241,true,uniform_synthetic,feasible_family_target
minmax_64,64,fixed,feasible,0.625000,0.624871,1.600330308,127.117200,270.673894,0.289041,0.054175,0.180614,true,uniform_synthetic,feasible_family_target
minmax_m4,64/32x2/16x4,decomposable,feasible,0.625000,0.624711,1.600740182,126.451200,282.361121,0.310101,0.044364,0.193723,true,uniform_synthetic,feasible_family_target
mult_16x4,16x4,fixed,feasible,1.214000,1.213630,0.823974358,595.048781,1146.722169,1.714400,0.237844,2.080647,true,uniform_synthetic,feasible_family_target
mult_32x2,32x2,fixed,feasible,1.214000,1.213990,0.823730014,1096.768771,2682.729608,3.593400,0.486056,4.362352,true,uniform_synthetic,feasible_family_target
mult_64,64,fixed,feasible,1.214000,1.213980,0.823736800,2197.045156,5174.332444,8.873300,0.974689,10.772009,true,uniform_synthetic,feasible_family_target
mult_decomp,64/32x2/16x4,decomposable,feasible,1.214000,1.213890,0.823797873,4071.790764,7533.299605,18.515500,2.201500,22.475780,true,uniform_synthetic,feasible_family_target
rounding_16x4,FP16x4,fixed,feasible,0.748000,0.747831,1.337200517,349.516799,731.056296,0.558539,0.149977,0.417693,true,uniform_synthetic,feasible_family_target
rounding_32x2,FP32x2,fixed,feasible,0.748000,0.747748,1.337348946,545.498399,1052.270859,0.588742,0.262267,0.440231,true,uniform_synthetic,feasible_family_target
rounding_64,FP64,fixed,feasible,0.748000,0.747837,1.337189789,851.769597,1482.729431,0.651032,0.501512,0.486866,true,uniform_synthetic,feasible_family_target
rounding_g3,FP64/FP32x2/FP16x4,decomposable,feasible,0.748000,0.747987,1.336921631,1512.619196,2690.043147,1.442400,0.873905,1.078896,true,uniform_synthetic,feasible_family_target
